[D] Command line arguments: ['-vvvv', '--format', 'json', '--arch', 'powerpc', '--kdir', '/mnt/m2data/linux-worktrees/v6.3', '--remap', '/mnt/m2data/linux', '/mnt/m2data/kernels/vmlinux-powerpc-v6.3']
[D] Running command: ['readelf', '-Ws', PosixPath('/mnt/m2data/kernels/vmlinux-powerpc-v6.3')]
[D] Running command: ['readelf', '-WS', PosixPath('/mnt/m2data/kernels/vmlinux-powerpc-v6.3')]
Detected kernel version: 6.3.0 (from vmlinux)
[D] Arch: ArchPowerPC(name='powerpc', bits32=True, abi='ppc32', compat=False, ...)
[D] Syscall table: Symbol("sys_call_table" at 0xc0cdb154, type=OBJECT, size=0x70c)
[I] Syscall table (sys_call_table) is 1804 bytes, 451 entries
[D] Found ni_syscall: Symbol("sys_ni_syscall" at 0xc00aa28c, type=FUNC, size=0x1c)
[D] Discarding compat_sys_epoll_pwait as alias for sys_ni_syscall
[D] Discarding compat_sys_epoll_pwait2 as alias for sys_ni_syscall
[D] Discarding compat_sys_fadvise64_64 as alias for sys_ni_syscall
[D] Discarding compat_sys_fanotify_mark as alias for sys_ni_syscall
[D] Discarding compat_sys_get_robust_list as alias for sys_ni_syscall
[D] Discarding compat_sys_getsockopt as alias for sys_ni_syscall
[D] Discarding compat_sys_io_pgetevents as alias for sys_ni_syscall
[D] Discarding compat_sys_io_pgetevents_time32 as alias for sys_ni_syscall
[D] Discarding compat_sys_io_setup as alias for sys_ni_syscall
[D] Discarding compat_sys_io_submit as alias for sys_ni_syscall
[D] Discarding compat_sys_ipc as alias for sys_ni_syscall
[D] Discarding compat_sys_kexec_load as alias for sys_ni_syscall
[D] Discarding compat_sys_keyctl as alias for sys_ni_syscall
[D] Discarding compat_sys_lookup_dcookie as alias for sys_ni_syscall
[D] Discarding compat_sys_mq_getsetattr as alias for sys_ni_syscall
[D] Discarding compat_sys_mq_notify as alias for sys_ni_syscall
[D] Discarding compat_sys_mq_open as alias for sys_ni_syscall
[D] Discarding compat_sys_msgctl as alias for sys_ni_syscall
[D] Discarding compat_sys_msgrcv as alias for sys_ni_syscall
[D] Discarding compat_sys_msgsnd as alias for sys_ni_syscall
[D] Discarding compat_sys_old_msgctl as alias for sys_ni_syscall
[D] Discarding compat_sys_old_semctl as alias for sys_ni_syscall
[D] Discarding compat_sys_old_shmctl as alias for sys_ni_syscall
[D] Discarding compat_sys_open_by_handle_at as alias for sys_ni_syscall
[D] Discarding compat_sys_ppoll_time32 as alias for sys_ni_syscall
[D] Discarding compat_sys_process_vm_readv as alias for sys_ni_syscall
[D] Discarding compat_sys_process_vm_writev as alias for sys_ni_syscall
[D] Discarding compat_sys_pselect6_time32 as alias for sys_ni_syscall
[D] Discarding compat_sys_recv as alias for sys_ni_syscall
[D] Discarding compat_sys_recvfrom as alias for sys_ni_syscall
[D] Discarding compat_sys_recvmmsg_time32 as alias for sys_ni_syscall
[D] Discarding compat_sys_recvmmsg_time64 as alias for sys_ni_syscall
[D] Discarding compat_sys_recvmsg as alias for sys_ni_syscall
[D] Discarding compat_sys_rt_sigtimedwait_time32 as alias for sys_ni_syscall
[D] Discarding compat_sys_s390_ipc as alias for sys_ni_syscall
[D] Discarding compat_sys_semctl as alias for sys_ni_syscall
[D] Discarding compat_sys_sendmmsg as alias for sys_ni_syscall
[D] Discarding compat_sys_sendmsg as alias for sys_ni_syscall
[D] Discarding compat_sys_set_robust_list as alias for sys_ni_syscall
[D] Discarding compat_sys_setsockopt as alias for sys_ni_syscall
[D] Discarding compat_sys_shmat as alias for sys_ni_syscall
[D] Discarding compat_sys_shmctl as alias for sys_ni_syscall
[D] Discarding compat_sys_signalfd as alias for sys_ni_syscall
[D] Discarding compat_sys_signalfd4 as alias for sys_ni_syscall
[D] Discarding compat_sys_socketcall as alias for sys_ni_syscall
[D] sys_call_table[0]: Symbol("sys_restart_syscall" at 0xc0090444, type=FUNC, size=0x24)
[D] sys_call_table[1]: Symbol("sys_exit" at 0xc0081ddc, type=FUNC, size=0x24)
[D] sys_call_table[2]: Symbol("sys_fork" at 0xc00788b4, type=FUNC, size=0x6c)
[D] sys_call_table[3]: Symbol("sys_read" at 0xc03400e0, type=FUNC, size=0x24)
[D] sys_call_table[4]: Symbol("sys_write" at 0xc0340254, type=FUNC, size=0x24)
[D] sys_call_table[5]: Symbol("sys_open" at 0xc033cb90, type=FUNC, size=0xf4)
[D] sys_call_table[6]: Symbol("sys_close" at 0xc033cf3c, type=FUNC, size=0x5c)
[D] sys_call_table[7]: Symbol("sys_waitpid" at 0xc0082490, type=FUNC, size=0x28)
[D] sys_call_table[8]: Symbol("sys_creat" at 0xc033ce8c, type=FUNC, size=0xb0)
[D] sys_call_table[9]: Symbol("sys_link" at 0xc03598c0, type=FUNC, size=0x74)
[D] sys_call_table[10]: Symbol("sys_unlink" at 0xc03591a8, type=FUNC, size=0x40)
[D] sys_call_table[11]: Symbol("sys_execve" at 0xc034c7b8, type=FUNC, size=0x6c)
[D] sys_call_table[12]: Symbol("sys_chdir" at 0xc033b7c8, type=FUNC, size=0xf8)
[D] sys_call_table[13]: Symbol("sys_time32" at 0xc01308c0, type=FUNC, size=0xf8)
[D] sys_call_table[14]: Symbol("sys_mknod" at 0xc03588cc, type=FUNC, size=0x64)
[D] sys_call_table[15]: Symbol("sys_chmod" at 0xc033be5c, type=FUNC, size=0x28)
[D] sys_call_table[16]: Symbol("sys_lchown" at 0xc033c2b4, type=FUNC, size=0x30)
[D] sys_call_table[17]: Symbol("sys_ni_syscall" at 0xc00aa28c, type=FUNC, size=0x1c)
[D] sys_call_table[18]: Symbol("sys_stat" at 0xc0348df0, type=FUNC, size=0x20)
[D] sys_call_table[19]: Symbol("sys_lseek" at 0xc033ec84, type=FUNC, size=0x12c)
[D] sys_call_table[20]: Symbol("sys_getpid" at 0xc0098310, type=FUNC, size=0x24)
[D] sys_call_table[21]: Symbol("sys_mount" at 0xc0376aa8, type=FUNC, size=0x26c)
[D] sys_call_table[22]: Symbol("sys_oldumount" at 0xc0373f0c, type=FUNC, size=0x84)
[D] sys_call_table[23]: Symbol("sys_setuid" at 0xc00973e0, type=FUNC, size=0x1c)
[D] sys_call_table[24]: Symbol("sys_getuid" at 0xc0098390, type=FUNC, size=0x30)
[D] sys_call_table[25]: Symbol("sys_stime32" at 0xc01309b8, type=FUNC, size=0xf0)
[D] sys_call_table[26]: Symbol("sys_ptrace" at 0xc008b0b4, type=FUNC, size=0x534)
[D] sys_call_table[27]: Symbol("sys_alarm" at 0xc014bc44, type=FUNC, size=0xfc)
[D] sys_call_table[28]: Symbol("sys_fstat" at 0xc0348e30, type=FUNC, size=0x20)
[D] sys_call_table[29]: Symbol("sys_pause" at 0xc0094fd0, type=FUNC, size=0x78)
[D] sys_call_table[30]: Symbol("sys_utime32" at 0xc038e8c8, type=FUNC, size=0x140)
[D] sys_call_table[31]: Symbol("sys_ni_syscall" at 0xc00aa28c, type=FUNC, size=0x1c)
[D] sys_call_table[32]: Symbol("sys_ni_syscall" at 0xc00aa28c, type=FUNC, size=0x1c)
[D] sys_call_table[33]: Symbol("sys_access" at 0xc033b79c, type=FUNC, size=0x2c)
[D] sys_call_table[34]: Symbol("sys_nice" at 0xc00c134c, type=FUNC, size=0xe0)
[D] sys_call_table[35]: Symbol("sys_ni_syscall" at 0xc00aa28c, type=FUNC, size=0x1c)
[D] sys_call_table[36]: Symbol("sys_sync" at 0xc038da7c, type=FUNC, size=0x30)
[D] sys_call_table[37]: Symbol("sys_kill" at 0xc00938f8, type=FUNC, size=0x27c)
[D] sys_call_table[38]: Symbol("sys_rename" at 0xc035a00c, type=FUNC, size=0x74)
[D] sys_call_table[39]: Symbol("sys_mkdir" at 0xc0358b40, type=FUNC, size=0x54)
[D] sys_call_table[40]: Symbol("sys_rmdir" at 0xc0358d60, type=FUNC, size=0x40)
[D] sys_call_table[41]: Symbol("sys_dup" at 0xc036e998, type=FUNC, size=0x158)
[D] sys_call_table[42]: Symbol("sys_pipe" at 0xc034eeb4, type=FUNC, size=0x20)
[D] sys_call_table[43]: Symbol("sys_times" at 0xc0098450, type=FUNC, size=0x17c)
[D] sys_call_table[44]: Symbol("sys_ni_syscall" at 0xc00aa28c, type=FUNC, size=0x1c)
[D] sys_call_table[45]: Symbol("sys_brk" at 0xc02e43b4, type=FUNC, size=0x420)
[D] sys_call_table[46]: Symbol("sys_setgid" at 0xc0096f8c, type=FUNC, size=0x1c)
[D] sys_call_table[47]: Symbol("sys_getgid" at 0xc00983f0, type=FUNC, size=0x30)
[D] sys_call_table[48]: Symbol("sys_signal" at 0xc0094f34, type=FUNC, size=0x9c)
[D] sys_call_table[49]: Symbol("sys_geteuid" at 0xc00983c0, type=FUNC, size=0x30)
[D] sys_call_table[50]: Symbol("sys_getegid" at 0xc0098420, type=FUNC, size=0x30)
